Country,Year,book,cinema,concert,museum,theater
Turkey,2017,43.083333333333336,65.16666666666667,5.0,1.0833333333333333,7.166666666666667
Turkey,2018,47.0,62.0,6.666666666666667,1.3333333333333333,7.75
Turkey,2019,54.666666666666664,58.916666666666664,8.916666666666666,1.9166666666666667,9.166666666666666
Turkey,2020,53.5,22.916666666666668,3.0,1.8333333333333333,4.416666666666667
Turkey,2021,46.166666666666664,16.666666666666668,7.75,1.75,4.583333333333333
Turkey,2022,48.25,36.583333333333336,16.5,2.6666666666666665,8.25
Turkey,2023,42.666666666666664,37.916666666666664,14.75,3.0833333333333335,7.25
Turkey,2024,42.666666666666664,37.166666666666664,15.166666666666666,3.1666666666666665,8.75
Turkey,2025,46.6,30.2,12.2,2.6,9.0
United Kingdom,2004,39.25,51.083333333333336,9.583333333333334,21.083333333333332,40.166666666666664
United Kingdom,2005,38.5,51.666666666666664,9.833333333333334,19.083333333333332,38.333333333333336
United Kingdom,2006,37.25,54.166666666666664,8.0,18.166666666666668,36.416666666666664
United Kingdom,2007,46.083333333333336,51.083333333333336,8.0,17.75,34.5
United Kingdom,2008,57.083333333333336,46.583333333333336,6.083333333333333,15.416666666666666,30.166666666666668
United Kingdom,2009,57.416666666666664,45.583333333333336,5.333333333333333,15.083333333333334,26.75
United Kingdom,2010,46.75,41.75,4.333333333333333,13.666666666666666,23.333333333333332
United Kingdom,2011,47.166666666666664,47.666666666666664,5.083333333333333,15.166666666666666,26.166666666666668
United Kingdom,2012,44.416666666666664,44.583333333333336,5.75,15.0,24.75
United Kingdom,2013,44.166666666666664,41.5,4.833333333333333,15.416666666666666,24.5
United Kingdom,2014,45.833333333333336,37.333333333333336,4.25,16.166666666666668,24.083333333333332
United Kingdom,2015,48.083333333333336,43.416666666666664,4.416666666666667,15.916666666666666,23.833333333333332
United Kingdom,2016,50.833333333333336,42.916666666666664,4.333333333333333,14.75,23.0
United Kingdom,2017,48.833333333333336,43.666666666666664,5.25,15.583333333333334,22.75
United Kingdom,2018,48.583333333333336,44.166666666666664,4.583333333333333,16.333333333333332,23.083333333333332
United Kingdom,2019,50.083333333333336,43.5,4.75,16.333333333333332,23.416666666666668
United Kingdom,2020,53.25,17.083333333333332,3.0,9.25,10.083333333333334
United Kingdom,2021,67.41666666666667,21.5,3.3333333333333335,11.25,13.166666666666666
United Kingdom,2022,58.75,29.5,6.916666666666667,15.75,22.083333333333332
United Kingdom,2023,56.416666666666664,29.416666666666668,7.5,17.25,22.416666666666668
United Kingdom,2024,60.166666666666664,27.75,6.916666666666667,18.25,22.416666666666668
United Kingdom,2025,63.8,24.0,6.2,16.4,20.4
